class,precision,recall,f1,model
12,90.7488986784141,90.7488986784141,90.7488986784141,balanced_WT_cnn.csv
13,98.24561403508773,98.24561403508773,98.24561403508773,balanced_WT_cnn.csv
14,94.11764705882352,94.11764705882352,94.11764705882352,balanced_WT_cnn.csv
15,100.0,100.0,100.0,balanced_WT_cnn.csv
16,95.74468085106383,95.74468085106383,95.74468085106383,balanced_WT_cnn.csv
17,98.1132075471698,98.1132075471698,98.1132075471698,balanced_WT_cnn.csv
18,99.672131147541,99.672131147541,99.672131147541,balanced_WT_cnn.csv
19,99.29078014184395,99.29078014184395,99.29078014184395,balanced_WT_cnn.csv
20,95.74468085106383,95.74468085106383,95.74468085106383,balanced_WT_cnn.csv
21,98.0,98.0,98.0,balanced_WT_cnn.csv
22,98.0392156862745,98.0392156862745,98.0392156862745,balanced_WT_cnn.csv
23,95.17241379310344,95.17241379310344,95.17241379310344,balanced_WT_cnn.csv
24,96.20253164556962,96.20253164556962,96.20253164556962,balanced_WT_cnn.csv
25,98.0,98.0,98.0,balanced_WT_cnn.csv
26,100.0,100.0,100.0,balanced_WT_cnn.csv
27,98.54014598540148,98.54014598540148,98.54014598540148,balanced_WT_cnn.csv
28,100.0,100.0,100.0,balanced_WT_cnn.csv
29,99.09909909909908,99.09909909909908,99.09909909909908,balanced_WT_cnn.csv
30,100.0,100.0,100.0,balanced_WT_cnn.csv
31,100.0,100.0,100.0,balanced_WT_cnn.csv
32,99.24812030075188,99.24812030075188,99.24812030075188,balanced_WT_cnn.csv
33,98.52941176470588,98.52941176470588,98.52941176470588,balanced_WT_cnn.csv
34,97.9746835443038,97.9746835443038,97.9746835443038,balanced_WT_cnn.csv
35,100.0,100.0,100.0,balanced_WT_cnn.csv
36,100.0,100.0,100.0,balanced_WT_cnn.csv
37,100.0,100.0,100.0,balanced_WT_cnn.csv
38,91.66666666666666,91.66666666666666,91.66666666666666,balanced_WT_cnn.csv
39,100.0,100.0,100.0,balanced_WT_cnn.csv
40,96.27329192546584,96.27329192546584,96.27329192546584,balanced_WT_cnn.csv
41,94.07407407407408,94.07407407407408,94.07407407407408,balanced_WT_cnn.csv
42,97.85714285714285,97.85714285714285,97.85714285714285,balanced_WT_cnn.csv
0,58.333333333333336,58.333333333333336,58.333333333333336,balanced_wt_ResNet_152.csv
1,45.59471365638766,45.59471365638766,45.59471365638766,balanced_wt_ResNet_152.csv
2,98.40546697038724,98.40546697038724,98.40546697038724,balanced_wt_ResNet_152.csv
3,75.09433962264151,75.09433962264151,75.09433962264151,balanced_wt_ResNet_152.csv
4,95.24940617577197,95.24940617577197,95.24940617577197,balanced_wt_ResNet_152.csv
5,95.83333333333334,95.83333333333334,95.83333333333334,balanced_wt_ResNet_152.csv
6,98.76543209876544,98.76543209876544,98.76543209876544,balanced_wt_ResNet_152.csv
7,74.35897435897436,74.35897435897436,74.35897435897436,balanced_wt_ResNet_152.csv
8,92.5925925925926,92.5925925925926,92.5925925925926,balanced_wt_ResNet_152.csv
9,99.55947136563876,99.55947136563876,99.55947136563876,balanced_wt_ResNet_152.csv
10,42.27642276422765,42.27642276422765,42.27642276422765,balanced_wt_ResNet_152.csv
11,90.47619047619048,90.47619047619048,90.47619047619048,balanced_wt_ResNet_152.csv
12,95.37444933920705,95.37444933920705,95.37444933920705,balanced_wt_ResNet_152.csv
13,94.73684210526316,94.73684210526316,94.73684210526316,balanced_wt_ResNet_152.csv
14,97.05882352941175,97.05882352941175,97.05882352941175,balanced_wt_ResNet_152.csv
15,68.29268292682927,68.29268292682927,68.29268292682927,balanced_wt_ResNet_152.csv
16,80.85106382978722,80.85106382978722,80.85106382978722,balanced_wt_ResNet_152.csv
17,64.15094339622641,64.15094339622641,64.15094339622641,balanced_wt_ResNet_152.csv
18,87.8688524590164,87.8688524590164,87.8688524590164,balanced_wt_ResNet_152.csv
19,95.74468085106383,95.74468085106383,95.74468085106383,balanced_wt_ResNet_152.csv
20,95.74468085106383,95.74468085106383,95.74468085106383,balanced_wt_ResNet_152.csv
21,62.0,62.0,62.0,balanced_wt_ResNet_152.csv
22,56.86274509803921,56.86274509803921,56.86274509803921,balanced_wt_ResNet_152.csv
23,85.86206896551725,85.86206896551725,85.86206896551725,balanced_wt_ResNet_152.csv
24,93.67088607594935,93.67088607594935,93.67088607594935,balanced_wt_ResNet_152.csv
25,38.66666666666666,38.66666666666666,38.66666666666666,balanced_wt_ResNet_152.csv
26,85.0,85.0,85.0,balanced_wt_ResNet_152.csv
27,99.27007299270072,99.27007299270072,99.27007299270072,balanced_wt_ResNet_152.csv
28,65.06024096385542,65.06024096385542,65.06024096385542,balanced_wt_ResNet_152.csv
29,95.4954954954955,95.4954954954955,95.4954954954955,balanced_wt_ResNet_152.csv
30,95.16129032258064,95.16129032258064,95.16129032258064,balanced_wt_ResNet_152.csv
31,89.36170212765957,89.36170212765957,89.36170212765957,balanced_wt_ResNet_152.csv
32,90.72681704260653,90.72681704260653,90.72681704260653,balanced_wt_ResNet_152.csv
33,95.58823529411764,95.58823529411764,95.58823529411764,balanced_wt_ResNet_152.csv
34,86.58227848101265,86.58227848101265,86.58227848101265,balanced_wt_ResNet_152.csv
35,89.87341772151899,89.87341772151899,89.87341772151899,balanced_wt_ResNet_152.csv
36,93.87755102040816,93.87755102040816,93.87755102040816,balanced_wt_ResNet_152.csv
37,100.0,100.0,100.0,balanced_wt_ResNet_152.csv
38,61.82795698924731,61.82795698924731,61.82795698924731,balanced_wt_ResNet_152.csv
39,38.63636363636363,38.63636363636363,38.63636363636363,balanced_wt_ResNet_152.csv
40,87.26708074534162,87.26708074534162,87.26708074534162,balanced_wt_ResNet_152.csv
41,75.55555555555556,75.55555555555556,75.55555555555556,balanced_wt_ResNet_152.csv
42,92.14285714285714,92.14285714285714,92.14285714285714,balanced_wt_ResNet_152.csv
0,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
1,98.6784140969163,98.6784140969163,98.6784140969163,balanced_wt_ResNet_50.csv
2,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
3,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
4,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
5,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
6,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
7,99.14529914529916,99.14529914529916,99.14529914529916,balanced_wt_ResNet_50.csv
8,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
9,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
10,99.1869918699187,99.1869918699187,99.1869918699187,balanced_wt_ResNet_50.csv
11,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
12,98.45814977973568,98.45814977973568,98.45814977973568,balanced_wt_ResNet_50.csv
13,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
14,95.58823529411764,95.58823529411764,95.58823529411764,balanced_wt_ResNet_50.csv
15,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
16,98.93617021276596,98.93617021276596,98.93617021276596,balanced_wt_ResNet_50.csv
17,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
18,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
19,99.29078014184395,99.29078014184395,99.29078014184395,balanced_wt_ResNet_50.csv
20,97.87234042553192,97.87234042553192,97.87234042553192,balanced_wt_ResNet_50.csv
21,99.0,99.0,99.0,balanced_wt_ResNet_50.csv
22,98.0392156862745,98.0392156862745,98.0392156862745,balanced_wt_ResNet_50.csv
23,99.3103448275862,99.3103448275862,99.3103448275862,balanced_wt_ResNet_50.csv
24,98.73417721518987,98.73417721518987,98.73417721518987,balanced_wt_ResNet_50.csv
25,99.33333333333331,99.33333333333331,99.33333333333331,balanced_wt_ResNet_50.csv
26,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
27,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
28,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
29,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
30,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
31,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
32,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
33,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
34,99.74683544303798,99.74683544303798,99.74683544303798,balanced_wt_ResNet_50.csv
35,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
36,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
37,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
38,97.8494623655914,97.8494623655914,97.8494623655914,balanced_wt_ResNet_50.csv
39,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
40,99.37888198757764,99.37888198757764,99.37888198757764,balanced_wt_ResNet_50.csv
41,100.0,100.0,100.0,balanced_wt_ResNet_50.csv
42,98.92857142857144,98.92857142857144,98.92857142857144,balanced_wt_ResNet_50.csv
0,93.47826086956522,93.47826086956522,93.47826086956522,imbalanced_resnet_L50.csv
1,97.68421052631578,97.68421052631578,97.68421052631578,imbalanced_resnet_L50.csv
2,99.5049504950495,99.5049504950495,99.5049504950495,imbalanced_resnet_L50.csv
3,99.22178988326849,99.22178988326849,99.22178988326849,imbalanced_resnet_L50.csv
4,98.53300733496332,98.53300733496332,98.53300733496332,imbalanced_resnet_L50.csv
5,99.26650366748166,99.26650366748166,99.26650366748166,imbalanced_resnet_L50.csv
6,100.0,100.0,100.0,imbalanced_resnet_L50.csv
7,98.31932773109244,98.31932773109244,98.31932773109244,imbalanced_resnet_L50.csv
8,100.0,100.0,100.0,imbalanced_resnet_L50.csv
9,100.0,100.0,100.0,imbalanced_resnet_L50.csv
10,99.19678714859438,99.19678714859438,99.19678714859438,imbalanced_resnet_L50.csv
11,100.0,100.0,100.0,imbalanced_resnet_L50.csv
12,100.0,100.0,100.0,imbalanced_resnet_L50.csv
13,94.8051948051948,94.8051948051948,94.8051948051948,imbalanced_resnet_L50.csv
14,98.4126984126984,98.4126984126984,98.4126984126984,imbalanced_resnet_L50.csv
15,100.0,100.0,100.0,imbalanced_resnet_L50.csv
16,95.6989247311828,95.6989247311828,95.6989247311828,imbalanced_resnet_L50.csv
17,98.24561403508773,98.24561403508773,98.24561403508773,imbalanced_resnet_L50.csv
18,98.87218045112782,98.87218045112782,98.87218045112782,imbalanced_resnet_L50.csv
19,92.5925925925926,92.5925925925926,92.5925925925926,imbalanced_resnet_L50.csv
