class,precision,recall,f1,support,model
5,1.0,0.99537037,0.997679814,432,balanced_wt_ResNet_50.csv
6,1.0,0.99382716,0.996904025,162,balanced_wt_ResNet_50.csv
7,0.958677686,0.991452991,0.974789916,117,balanced_wt_ResNet_50.csv
8,1.0,1.0,1.0,81,balanced_wt_ResNet_50.csv
9,1.0,1.0,1.0,227,balanced_wt_ResNet_50.csv
10,0.987854251,0.991869919,0.989858012,246,balanced_wt_ResNet_50.csv
11,0.976744186,1.0,0.988235294,42,balanced_wt_ResNet_50.csv
12,0.982339956,0.980176211,0.981256891,454,balanced_wt_ResNet_50.csv
13,0.933333333,0.98245614,0.957264957,57,balanced_wt_ResNet_50.csv
14,0.984848485,0.955882353,0.970149254,68,balanced_wt_ResNet_50.csv
15,0.976190476,1.0,0.987951807,82,balanced_wt_ResNet_50.csv
16,0.989361702,0.989361702,0.989361702,94,balanced_wt_ResNet_50.csv
17,1.0,1.0,1.0,53,balanced_wt_ResNet_50.csv
18,0.996688742,0.986885246,0.991762768,305,balanced_wt_ResNet_50.csv
19,1.0,0.978723404,0.989247312,141,balanced_wt_ResNet_50.csv
20,1.0,1.0,1.0,47,balanced_wt_ResNet_50.csv
21,0.98989899,0.98,0.984924623,100,balanced_wt_ResNet_50.csv
22,0.943396226,0.980392157,0.961538462,51,balanced_wt_ResNet_50.csv
23,0.98615917,0.982758621,0.984455959,290,balanced_wt_ResNet_50.csv
24,0.974358974,0.962025316,0.968152866,79,balanced_wt_ResNet_50.csv
25,0.98,0.98,0.98,150,balanced_wt_ResNet_50.csv
26,1.0,1.0,1.0,40,balanced_wt_ResNet_50.csv
27,0.985611511,1.0,0.992753623,137,balanced_wt_ResNet_50.csv
28,1.0,1.0,1.0,83,balanced_wt_ResNet_50.csv
29,1.0,0.990990991,0.995475113,222,balanced_wt_ResNet_50.csv
30,0.984126984,1.0,0.992,62,balanced_wt_ResNet_50.csv
31,1.0,1.0,1.0,47,balanced_wt_ResNet_50.csv
32,1.0,1.0,1.0,399,balanced_wt_ResNet_50.csv
33,1.0,1.0,1.0,68,balanced_wt_ResNet_50.csv
34,0.992327366,0.982278481,0.987277354,395,balanced_wt_ResNet_50.csv
35,1.0,1.0,1.0,79,balanced_wt_ResNet_50.csv
