class,accuraccy,precision,recall,f1,support,model
18,100,0.996197719,0.984962406,0.990548204,266,balanced_tk_cnn.csv
19,96.2962963,0.990566038,0.972222222,0.981308411,108,balanced_tk_cnn.csv
20,96.07843137,1,0.980392157,0.99009901,51,balanced_tk_cnn.csv
21,96.93877551,1,0.918367347,0.957446809,98,balanced_tk_cnn.csv
22,100,0.913793103,0.963636364,0.938053097,55,balanced_tk_cnn.csv
23,94.50549451,0.995798319,0.868131868,0.927592955,273,balanced_tk_cnn.csv
24,93.93939394,0.942307692,0.98989899,0.965517241,99,balanced_tk_cnn.csv
25,97.97297297,0.907407407,0.993243243,0.948387097,148,balanced_tk_cnn.csv
26,97.05882353,1,0.970588235,0.985074627,34,balanced_tk_cnn.csv
27,100,0.993506494,1,0.996742671,153,balanced_tk_cnn.csv
28,98.16513761,0.972972973,0.990825688,0.981818182,109,balanced_tk_cnn.csv
29,99.20634921,0.996031746,0.996031746,0.996031746,252,balanced_tk_cnn.csv
30,100,1,0.988095238,0.994011976,84,balanced_tk_cnn.csv
31,100,1,1,1,42,balanced_tk_cnn.csv
32,100,0.995316159,0.997652582,0.996483001,426,balanced_tk_cnn.csv
33,100,1,1,1,56,balanced_tk_cnn.csv
34,97.70408163,0.992268041,0.982142857,0.987179487,392,balanced_tk_cnn.csv
35,98.33333333,1,0.866666667,0.928571429,60,balanced_tk_cnn.csv
36,97.6744186,1,0.976744186,0.988235294,43,balanced_tk_cnn.csv
37,97.95918367,0.96,0.979591837,0.96969697,49,balanced_tk_cnn.csv
38,92.32804233,0.882211538,0.970899471,0.924433249,378,balanced_tk_cnn.csv
39,97.59036145,1,1,1,83,balanced_tk_cnn.csv
40,96.09929078,0.952380952,0.992907801,0.972222222,282,balanced_tk_cnn.csv
41,95.86466165,0.974169742,0.992481203,0.983240223,266,balanced_tk_cnn.csv
42,99.34640523,1,0.970588235,0.985074627,306,balanced_tk_cnn.csv
0,97.82608696,1,0.760869565,0.864197531,46,balanced_tk_ResNet50_50.csv
1,98.52631579,0.952479339,0.970526316,0.961418144,475,balanced_tk_ResNet50_50.csv
2,99.25742574,0.995024876,0.99009901,0.992555831,404,balanced_tk_ResNet50_50.csv
3,100,0.958801498,0.996108949,0.977099237,257,balanced_tk_ResNet50_50.csv
4,100,1,0.997555012,0.99877601,409,balanced_tk_ResNet50_50.csv
5,99.75550122,0.995098039,0.992665037,0.993880049,409,balanced_tk_ResNet50_50.csv
6,100,1,0.982248521,0.991044776,169,balanced_tk_ResNet50_50.csv
7,99.15966387,1,0.983193277,0.991525424,119,balanced_tk_ResNet50_50.csv
8,100,0.988636364,0.988636364,0.988636364,88,balanced_tk_ResNet50_50.csv
9,99.58506224,1,1,1,241,balanced_tk_ResNet50_50.csv
10,100,0.987755102,0.97188755,0.979757085,249,balanced_tk_ResNet50_50.csv
11,100,1,0.970588235,0.985074627,34,balanced_tk_ResNet50_50.csv
12,98.1981982,0.910788382,0.988738739,0.948164147,444,balanced_tk_ResNet50_50.csv
13,92.20779221,0.98630137,0.935064935,0.96,77,balanced_tk_ResNet50_50.csv
14,96.82539683,0.913043478,1,0.954545455,63,balanced_tk_ResNet50_50.csv
15,100,0.989130435,1,0.994535519,91,balanced_tk_ResNet50_50.csv
16,100,0.989247312,0.989247312,0.989247312,93,balanced_tk_ResNet50_50.csv
17,94.73684211,0.982758621,1,0.991304348,57,balanced_tk_ResNet50_50.csv
18,99.62406015,0.981343284,0.988721805,0.985018727,266,balanced_tk_ResNet50_50.csv
19,97.22222222,0.929824561,0.981481481,0.954954955,108,balanced_tk_ResNet50_50.csv
20,100,1,0.882352941,0.9375,51,balanced_tk_ResNet50_50.csv
21,98.97959184,0.889908257,0.989795918,0.937198068,98,balanced_tk_ResNet50_50.csv
22,98.18181818,1,0.872727273,0.932038835,55,balanced_tk_ResNet50_50.csv
